Vehicle_ID,Fuel_ID,Fuel_Configuration_ID,Manufacturer_ID,Category_ID,Model,Model_Year,Alternative_Fuel_Economy_City,Alternative_Fuel_Economy_Highway,Alternative_Fuel_Economy_Combined,Conventional_Fuel_Economy_City,Conventional_Fuel_Economy_Highway,Conventional_Fuel_Economy_Combined,Transmission,Engine_Type,Engine_Size,Engine_Cylinder_Count,Engine_and_Motors_Description,Manufacturer,Manufacturer_URL,Category,Fuel_Code,Fuel,Fuel_Configuration_Name,Electric_Only_Range,eRange_min,eRange_max,eRange_avg,Total_Range,PHEV_Type,Notes,Drivetrain,Charging_Rate_Level_2_in_kW,Charging_Rate_DC_Fast_kW,Charging_Speed_Level_1_miles_added_per_hour_of_charging,Charging_Speed_Level_2_miles_added_per_hour_of_charging,Charging_Speed_DCFast_miles_added_per_hour_of_charging,Battery_Voltage,Battery_Capacity_Amp_Hours,Battery_Capacity_kWh,Seating_Capacity
13422,41,1,377,29,Q4 40 e-tron,2024,112,94,103,,,,Auto,e-motor,150 kW,,150 kW electric motor,Audi,http://progress.audiusa.com/,SUV,ELEC,Electric,Dedicated,265,265,265,265,,,,RWD,11,125,3,31,282,352,234,82,5
13423,41,1,377,29,Q4 50 e-tron quattro,2024,97,87,93,,,,Auto,e-motor,80 kW (x2),,80 kW electric motors (x2),Audi,http://progress.audiusa.com/,SUV,ELEC,Electric,Dedicated,236,236,236,236,,,,AWD,11,125,3,31,282,352,234,82,5
13424,41,1,377,29,Q4 Sportback 50 e-tron quattro,2024,100,89,95,,,,Auto,e-motor,80 kW (x2),,80 kW electric motors (x2),Audi,http://progress.audiusa.com/,SUV,ELEC,Electric,Dedicated,242,242,242,242,,,,AWD,11,125,3,31,282,352,234,82,5
13349,45,9,377,29,Q5 quattro/Sportback/S-Line,2024,,,,,,24-26,Auto,SI,2.0L,4,2.0L I4,Audi,http://progress.audiusa.com/,SUV,HYBR,Hybrid Electric,Hybrid Electric,,,,,,,Includes S-Line and Sportback S-Line models,AWD,,,,,,,,,
13488,45,9,377,29,Q7 quattro,2024,,,,19,24,21,Auto,SI,3.0L,6,3.0L V6,Audi,http://progress.audiusa.com/,SUV,HYBR,Hybrid Electric,Hybrid Electric,,,,,,,,AWD,,,,,,,,,
13425,41,1,377,29,Q8 e-tron quattro,2024,80,83,81,,,,Auto,e-motor,141 kW (x2),,141 kW electric motors (x2),Audi,http://progress.audiusa.com/,SUV,ELEC,Electric,Dedicated,285,285,285,285,,,,AWD,11,125,3,31,282,397,288,114,5
13576,45,9,377,29,Q8 quattro,2024,,,,17,23,19,Auto,SI,3.0L,6,3.0L V6,Audi,http://progress.audiusa.com/,SUV,HYBR,Hybrid Electric,Hybrid Electric,,,,,,,,AWD,,,,,,,,,
13535,41,1,377,29,Q8 Sportback e-tron quattro,2024,84,90,87,,,,Auto,e-motor,141 and 172 kW,,141 and 172 kW electric motors,Audi,http://progress.audiusa.com/,SUV,ELEC,Electric,Dedicated,296,296,296,296,,,,AWD,9.6-19.2,170,3,44,311,397,288,114,5
13426,41,1,377,29,Q8 Sportback e-tron ultra quattro,2024,84,89,86,,,,Auto,e-motor,172 kW (x2),,172 kW electric motors (x2),Audi,http://progress.audiusa.com/,SUV,ELEC,Electric,Dedicated,300,300,300,300,,,,AWD,11,125,3,31,282,397,288,114,5
13489,45,9,377,27,RS 6 Avant,2024,,,,14,22,17,Auto,SI,4.0L,8,4.0L V8,Audi,http://progress.audiusa.com/,Sedan/Wagon,HYBR,Hybrid Electric,Hybrid Electric,,,,,,,,AWD,,,,,,,,,
13490,45,9,377,27,RS7,2024,,,,14,22,17,Auto,SI,4.0L,8,4.0L V8,Audi,http://progress.audiusa.com/,Sedan/Wagon,HYBR,Hybrid Electric,Hybrid Electric,,,,,,,,AWD,,,,,,,,,
13494,45,9,377,29,RS Q8,2024,,,,13,19,15,Auto,SI,4.0L,8,4.0L V8,Audi,http://progress.audiusa.com/,SUV,HYBR,Hybrid Electric,Hybrid Electric,,,,,,,,AWD,,,,,,,,,
13350,45,9,377,27,S3,2024,,,,23,32,26,Auto,SI,2.0L,4,2.0L I4,Audi,http://progress.audiusa.com/,Sedan/Wagon,HYBR,Hybrid Electric,Hybrid Electric,,,,,,,,AWD,,,,,,,,,
13491,45,9,377,27,S6,2024,,,,19,26,22,Auto,SI,2.9L,6,2.9L V6,Audi,http://progress.audiusa.com/,Sedan/Wagon,HYBR,Hybrid Electric,Hybrid Electric,,,,,,,,AWD,,,,,,,,,
13492,45,9,377,27,S7,2024,,,,19,26,22,Auto,SI,2.9L,6,2.9L V6,Audi,http://progress.audiusa.com/,Sedan/Wagon,HYBR,Hybrid Electric,Hybrid Electric,,,,,,,,AWD,,,,,,,,,
13493,45,9,377,27,S8,2024,,,,15,24,18,Auto,SI,4.0L,8,4.0L V8,Audi,http://progress.audiusa.com/,Sedan/Wagon,HYBR,Hybrid Electric,Hybrid Electric,,,,,,,,AWD,,,,,,,,,
13536,41,1,377,29,SQ8 e-tron/Sportback e-tron,2024,,,63-73,,,,Auto,e-motor,172 kW,,172 kW electric motor,Audi,http://progress.audiusa.com/,SUV,ELEC,Electric,Dedicated,218-253,218,253,235.5,,,"Includes models with 20"", 21"", and 22"" wheels",AWD,,,,,,397,288,114,
13597,57,9,355,27,Flying Spur Hybrid,2024,,,46,17,22,19,Auto,SI,2.9L,6,"2.9L V6;
103 kW electric motor",Bentley Motors,http://www.bentleymotors.com,Sedan/Wagon,PHEV,Plug-in Hybrid Electric,Hybrid Electric,21,21,21,21,430,Blended,,AWD,,,,,,374,48,17,
13598,57,9,211,27,330e Sedan,2024,,,73,24,32,26,Auto,SI,2.0L,4,2.0L I4 + 80 kW electric motor,BMW,https://www.bmwusa.com,Sedan/Wagon,PHEV,Plug-in Hybrid Electric,Hybrid Electric,22,22,22,22,310,Blended,,RWD,3.7,,3,8,,354,34,12,5
13599,57,9,211,27,330e xDrive,2024,,,68,22,32,26,Auto,SI,2.0L,4,2.0L I4 + 80 kW electric motor,BMW,https://www.bmwusa.com,Sedan/Wagon,PHEV,Plug-in Hybrid Electric,Hybrid Electric,20,20,20,20,300,Blended,,AWD,3.7,,3,8,,354,34,12,5
13495,45,9,211,27,530i Sedan,2024,,,,27,35,30,Auto,SI,2.0L,4,2.0L I4,BMW,https://www.bmwusa.com,Sedan/Wagon,HYBR,Hybrid Electric,Hybrid Electric,,,,,,,,RWD,,,,,,,,,
13496,45,9,211,27,530i xDrive Sedan,2024,,,,27,35,30,Auto,SI,2.0L,4,2.0L I4,BMW,https://www.bmwusa.com,Sedan/Wagon,HYBR,Hybrid Electric,Hybrid Electric,,,,,,,,AWD,,,,,,,,,
13577,45,9,211,27,540i xDrive Sedan,2024,,,,26,33,28,Auto,SI,3.0L,4,3.0L V6,BMW,https://www.bmwusa.com,Sedan/Wagon,HYBR,Hybrid Electric,Hybrid Electric,,,,,,,,AWD,,,,,,,,,
13408,45,9,211,27,740i  Sedan,2024,,,,25,31,28,Auto,SI,3.0L,6,3.0L V6,BMW,https://www.bmwusa.com,Sedan/Wagon,HYBR,Hybrid Electric,Hybrid Electric,,,,,,,,RWD,,,,,,,,,
13497,45,9,211,27,740i  xDrive Sedan,2024,,,,24,31,27,Auto,SI,3.0L,6,3.0L V6,BMW,https://www.bmwusa.com,Sedan/Wagon,HYBR,Hybrid Electric,Hybrid Electric,,,,,,,,AWD,,,,,,,,,
13409,45,9,211,27,760i xDrive Sedan,2024,,,,18,25,20,Auto,SI,4.4L,8,4.4L V8,BMW,https://www.bmwusa.com,Sedan/Wagon,HYBR,Hybrid Electric,Hybrid Electric,,,,,,,,AWD,,,,,,,,,
13351,45,9,211,29,Alpina XB7,2024,,,,16,20,17,Auto,SI,4.4L,8,4.4L V8,BMW,https://www.bmwusa.com,SUV,HYBR,Hybrid Electric,Hybrid Electric,,,,,,,,AWD,,,,,,,,,
13427,41,1,211,27,i4 eDrive35 Gran Coupe,2024,,,110-120,,,,Auto,e-motor,250 kW,,250 kW electric motor,BMW,https://www.bmwusa.com,Sedan/Wagon,ELEC,Electric,Dedicated,252-276,252,76,164,,,"Includes models with 18"" and 19"" wheels",RWD,11,195,4,33,463,399,211,84,
13428,41,1,211,27,i4 eDrive40 Gran Coupe,2024,,,100-109,,,,Auto,e-motor,250 kW,,250 kW electric motor,BMW,https://www.bmwusa.com,Sedan/Wagon,ELEC,Electric,Dedicated,283-301,283,301,292,,,"Includes models with 18"" and 19"" wheels",RWD,11,195,4,33,463,399,211,84,5
13430,41,1,211,27,i4 M50 Gran Coupe,2024,,,80-95,,,,Auto,e-motor,190 and 230 kW ,,190 and 230 kW electric motors,BMW,https://www.bmwusa.com,Sedan/Wagon,ELEC,Electric,Dedicated,227-269,227,269,248,,,"Includes models with 19"" and 20"" wheels",AWD,11,196,4,33,463,376,281,105,5
13429,41,1,211,27,i4 xDrive40 Gran Coupe,2024,,,99-109,,,,Auto,e-motor,190 and 230 kW ,,190 and 230 kW electric motors,BMW,https://www.bmwusa.com,Sedan/Wagon,ELEC,Electric,Dedicated,279-307,279,307,293,,,"Includes models with 18"" and 19"" wheels",AWD,11,195,4,33,463,376,281,105,5
13431,41,1,211,27,i5 eDrive40 Sedan,2024,,,96-105,,,,Auto,e-motor,250 kW,,250 kW electric motor,BMW,https://www.bmwusa.com,Sedan/Wagon,ELEC,Electric,Dedicated,270-295,270,295,282.5,,,"Includes models with 19"", 20"", and 21"" wheels",RWD,,,,,,399,211,84,
13432,41,1,211,27,i5 M60 xDrive Sedan,2024,,,85-91,,,,Auto,e-motor,190 and 230 kW ,,190 and 230 kW electric motors,BMW,https://www.bmwusa.com,Sedan/Wagon,ELEC,Electric,Dedicated,240-256,240,256,248,,,"Includes models with 19"", 20"", and 21"" wheels",4WD,,,,,,399,211,84,
13433,41,1,211,27,i7 eDrive50 Sedan,2024,,,86-90,,,,Auto,e-motor,335 kW,,335 kW  electric motor,BMW,https://www.bmwusa.com,Sedan/Wagon,ELEC,Electric,Dedicated,301-321,301,321,311,,,"Includes models with 19"", 20"", and 21"" wheels",RWD,11,195,4,33,412,376,281,105,5
13434,41,1,211,27,i7 M70 xDrive Sedan,2024,,,77-81,,,,Auto,e-motor,190 and 360 kW,,190 and 360 kW  electric motors,BMW,https://www.bmwusa.com,Sedan/Wagon,ELEC,Electric,Dedicated,274-291,274,291,282.5,,,"Includes models with 20"" and 21"" wheels",AWD,11,195,4,33,412,369,303,111,5
13435,41,1,211,27,i7 xDrive60 Sedan,2024,,,84-90,,,,Auto,e-motor,190 and 230 kW,,190 and 230 kW  electric motors,BMW,https://www.bmwusa.com,Sedan/Wagon,ELEC,Electric,Dedicated,298-317,298,317,307.5,,,"Includes models with 19"", 20"", and 21"" wheels",4WD,11,195,4,33,412,376,281,105,5
13436,41,1,211,29,iX M60,2024,,,80,,,,Auto,e-motor,190 and 360 kW,,190 and 360 kW electric motors,BMW,https://www.bmwusa.com,SUV,ELEC,Electric,Dedicated,296,296,296,296,,,"Includes models with 21"" and 22"" wheels",AWD,11,195,3,28,393,369,303,111,5
13437,41,1,211,29,iX xDrive40,2024,87,85,86,,,,Auto,e-motor,190 and 230 kW,,190 and 230 kW electric motors,BMW,https://www.bmwusa.com,SUV,ELEC,Electric,Dedicated,217,217,217,217,,,"Includes models with 20"", 21"", and 22"" wheels",AWD,11,195,3,28,393,369,303,111,5
13438,41,1,211,29,iX xDrive50,2024,,,83,,,,Auto,e-motor,190 and 230 kW,,190 and 230 kW electric motors,BMW,https://www.bmwusa.com,SUV,ELEC,Electric,Dedicated,307,307,307,307,,,"Includes models with 20"", 21"", and 22"" wheels",AWD,11,195,3,28,393,369,303,111,5
13406,45,9,211,27,M340i Sedan,2024,,,,23,31,26,Auto,SI,3.0L,6,3.0L V6,BMW,https://www.bmwusa.com,Sedan/Wagon,HYBR,Hybrid Electric,Hybrid Electric,,,,,,,,RWD,,,,,,,,,
13407,45,9,211,27,M340i xDrive Sedan,2024,,,,23,31,26,Auto,SI,3.0L,6,3.0L V6,BMW,https://www.bmwusa.com,Sedan/Wagon,HYBR,Hybrid Electric,Hybrid Electric,,,,,,,,AWD,,,,,,,,,
13352,45,9,211,27,M440i,2024,,,,,,26-27,Auto,SI,3.0L,6,3.0L V6,BMW,https://www.bmwusa.com,Sedan/Wagon,HYBR,Hybrid Electric,Hybrid Electric,,,,,,,"Includes Coupe, Gran Coupe, and Convertible models",RWD,,,,,,,,,
13353,45,9,211,27,M440i xDrive,2024,,,,,,25,Auto,SI,3.0L,6,3.0L V6,BMW,https://www.bmwusa.com,Sedan/Wagon,HYBR,Hybrid Electric,Hybrid Electric,,,,,,,"Includes Coupe, Gran Coupe, and Convertible models",AWD,,,,,,,,,
13410,45,9,211,29,X3/X4 M40i,2024,,,,21,26,23,Auto,SI,3.0L,6,3.0L V6,BMW,https://www.bmwusa.com,SUV,HYBR,Hybrid Electric,Hybrid Electric,,,,,,,,AWD,,,,,,,,,
13356,45,9,211,29,X5 M60i xDrive,2024,,,,17,22,19,Auto,SI,4.4L,8,4.4L V8,BMW,https://www.bmwusa.com,SUV,HYBR,Hybrid Electric,Hybrid Electric,,,,,,,,AWD,,,,,,,,,
13357,45,9,211,29,X5 M Competition,2024,,,,13,18,15,Auto,SI,4.4L,8,4.4L V8,BMW,https://www.bmwusa.com,SUV,HYBR,Hybrid Electric,Hybrid Electric,,,,,,,,AWD,,,,,,,,,
13354,45,9,211,29,X5 sDrive40i,2024,,,,23,27,25,Auto,SI,3.0L,6,3.0L V6,BMW,https://www.bmwusa.com,SUV,HYBR,Hybrid Electric,Hybrid Electric,,,,,,,,RWD,,,,,,,,,
13355,45,9,211,29,X5 xDrive40i,2024,,,,23,27,25,Auto,SI,3.0L,6,3.0L V6,BMW,https://www.bmwusa.com,SUV,HYBR,Hybrid Electric,Hybrid Electric,,,,,,,,AWD,,,,,,,,,
13359,45,9,211,29,X6 M60i xDrive,2024,,,,17,22,19,Auto,SI,4.4L,8,4.4L V8,BMW,https://www.bmwusa.com,SUV,HYBR,Hybrid Electric,Hybrid Electric,,,,,,,,AWD,,,,,,,,,
13360,45,9,211,29,X6 M Competition,2024,,,,13,18,15,Auto,SI,4.4L,8,4.4L V8,BMW,https://www.bmwusa.com,SUV,HYBR,Hybrid Electric,Hybrid Electric,,,,,,,,AWD,,,,,,,,,
13358,45,9,211,29,X6 xDrive40i,2024,,,,23,26,24,Auto,SI,3.0L,6,3.0L V6,BMW,https://www.bmwusa.com,SUV,HYBR,Hybrid Electric,Hybrid Electric,,,,,,,,AWD,,,,,,,,,
13361,45,9,211,29,X7 M60i xDrive,2024,,,,16,21,18,Auto,SI,4.4L,8,4.4L V8,BMW,https://www.bmwusa.com,SUV,HYBR,Hybrid Electric,Hybrid Electric,,,,,,,,AWD,,,,,,,,,
13362,45,9,211,29,X7 xDrive40i,2024,,,,21,25,22,Auto,SI,3.0L,6,3.0L V6,BMW,https://www.bmwusa.com,SUV,HYBR,Hybrid Electric,Hybrid Electric,,,,,,,,AWD,,,,,,,,,
13600,57,9,211,29,XM,2024,,,46,12,17,14,Auto,SI,4.4L,8,4.4L V8 + 145 kW electric motor,BMW,https://www.bmwusa.com,SUV,PHEV,Plug-in Hybrid Electric,Hybrid Electric,31,31,31,31,300,Blended,,AWD,7.4,,2,11,,317,93,29,5
13568,35,1,231,29,Escalade 2WD,2024,,,,21,27,23,Auto,CI,3.0L,6,3.0L V6,Cadillac,http://www.cadillac.com,SUV,BD,Biodiesel (B20),Dedicated,,,,,,,,RWD,,,,,,,,,
13569,35,1,231,29,Escalade 4WD,2024,,,,20,26,22,Auto,CI,3.0L,6,3.0L V6,Cadillac,http://www.cadillac.com,SUV,BD,Biodiesel (B20),Dedicated,,,,,,,,4WD,,,,,,,,,
13439,41,1,231,29,Lyric,2024,95,82,88,,,,Auto,e-motor,255 kW electric motor,,255 kW electric motor,Cadillac,http://www.cadillac.com,SUV,ELEC,Electric,Dedicated,314,314,314,314,,,,RWD,11.5-19.2,190,4,29,401,400,298,119,5
13537,41,1,215,29,Blazer EV AWD,2024,103,88,96,,,,Auto,e-motor,67 kW (x2),,67 kW electric motors (x2),Chevrolet,http://www.chevrolet.com,SUV,ELEC,Electric,Dedicated,279,279,279,279,,,,AWD,,,,,,335,298,99,
13498,45,9,215,27,Corvette AWD,2024,,,,16,24,19,Auto,SI,6.2L,8,6.2L V8,Chevrolet,http://www.chevrolet.com,Sedan/Wagon,HYBR,Hybrid Electric,Hybrid Electric,,,,,,,,AWD,,,,,,,,,
13398,35,1,215,25,Silverado 2WD,2024,,,,23,29,26,Auto,CI,3.0L,6,3.0L V6,Chevrolet,http://www.chevrolet.com,Pickup,BD,Biodiesel (B20),Dedicated,,,,,,,,RWD,,,,,,,,,
13404,11,5,215,25,Silverado 2WD,2024,12,15,13,16,20,18,Auto,SI,5.3L,8,5.3L V8,Chevrolet,http://www.chevrolet.com,Pickup,E85_GSLN,Ethanol (E85),Flexible Fuel,,,,,,,,RWD,,,,,,,,,
13399,35,1,215,25,Silverado 4WD,2024,,,,,,21-24,Auto,CI,3.0L,6,3.0L V6,Chevrolet,http://www.chevrolet.com,Pickup,BD,Biodiesel (B20),Dedicated,,,,,,,Includes ZR2 and Sport Mode models and models with mud terrain tires,4WD,,,,,,,,,
13405,11,5,215,25,Silverado 4WD,2024,11,14,12,15,19,17,Auto,SI,5.3L,8,5.3L V8,Chevrolet,http://www.chevrolet.com,Pickup,E85_GSLN,Ethanol (E85),Flexible Fuel,,,,,,,Includes models with mud terrain tires,4WD,,,,,,,,,
13440,41,1,215,25,Silverado EV,2024,67,59,63,,,,Auto,e-motor,191 kW (x2),,191 kW electric motors (x2),Chevrolet,http://www.chevrolet.com,Pickup,ELEC,Electric,Dedicated,450,450,450,450,,,,AWD,,,,,,350,596,208,
13538,41,1,215,25,Silverado EV,2024,72,62,67,,,,Auto,e-motor,189 kW (x2),,189 kW electric motors (x2),Chevrolet,http://www.chevrolet.com,Pickup,ELEC,Electric,Dedicated,393,393,393,393,,,,AWD,,,,,,290,580,168,
13572,35,1,215,29,Suburban 2WD,2024,,,,21,27,23,Auto,CI,3.0L,6,3.0L V6,Chevrolet,http://www.chevrolet.com,SUV,BD,Biodiesel (B20),Dedicated,,,,,,,,RWD,,,,,,,,,
13573,35,1,215,29,Suburban 4WD,2024,,,,20,26,22,Auto,CI,3.0L,6,3.0L V6,Chevrolet,http://www.chevrolet.com,SUV,BD,Biodiesel (B20),Dedicated,,,,,,,,4WD,,,,,,,,,
13570,35,1,215,29,Tahoe 2WD,2024,,,,21,28,24,Auto,CI,3.0L,6,3.0L V6,Chevrolet,http://www.chevrolet.com,SUV,BD,Biodiesel (B20),Dedicated,,,,,,,,RWD,,,,,,,,,
13571,35,1,215,29,Tahoe 4WD,2024,,,,20,26,22,Auto,CI,3.0L,6,3.0L V6,Chevrolet,http://www.chevrolet.com,SUV,BD,Biodiesel (B20),Dedicated,,,,,,,,4WD,,,,,,,,,
13530,57,9,223,9,Pacifica Hybrid,2024,,,82,29,30,30,Auto,SI,3.6L,6,"3.6L V6;
89 kW electric motor",Chrysler,http://www.chrysler.com,Van,PHEV,Plug-in Hybrid Electric,Hybrid Electric,32,32,32,32,550,Blended,,FWD,6.6,,3,16,,360,47,16,7
13531,57,9,225,29,Hornet PHEV AWD,2024,,,77,29,29,29,Auto,SI,1.3L,4,"1.3L I4;
89 kW electric motor",Dodge,http://www.dodge.com,SUV,PHEV,Plug-in Hybrid Electric,Hybrid Electric,33,33,33,33,360,Blended,,AWD,,,,,,304,51,15,
13601,57,9,409,27,SF90 Spider,2024,,,44,16,19,17,Auto,SI,3.9L,8,"3.9L V8; 99, 99, and 150 kW electric motors",Ferrari,http://www.ferrari.com/en_us/,Sedan/Wagon,PHEV,Plug-in Hybrid Electric,Hybrid Electric,8,8,8,8,330,Blended,,AWD,,,,,,309,21,6,
13602,57,9,409,27,SF90 Stradale ,2024,,,51,16,20,18,Auto,SI,3.9L,8,"3.9L V8; 99, 99, and 150 kW electric motors",Ferrari,http://www.ferrari.com/en_us/,Sedan/Wagon,PHEV,Plug-in Hybrid Electric,Hybrid Electric,9,9,9,9,340,Blended,,AWD,,,,,,309,21,6,
13578,45,9,219,25,Maverick HEV FWD,2024,,,,42,33,37,Auto,SI,2.5L I4,4,2.5L I4,Ford,https://www.ford.com,Pickup,HYBR,Hybrid Electric,Hybrid Electric,,,,,,,,FWD,,,,,,,,,
13441,41,1,478,27,Electrified G70,2024,98,83,91,,,,Auto,e-motor,160 kW (x2),,160 kW electric motors (x2),Genesis,https://www.genesis.com/us/en/genesis.html,Sedan/Wagon,ELEC,Electric,Dedicated,236,236,236,236,,,,AWD,11,230,3,29,497,697,111,77,5
13539,41,1,478,27,Electrified G80,2024,105,89,97,,,,Auto,e-motor,136 kW (x2),,136 kW electric motors (x2),Genesis,https://www.genesis.com/us/en/genesis.html,Sedan/Wagon,ELEC,Electric,Dedicated,282,282,282,282,,,,AWD,11,230,3,32,530,523,167,87,5
13363,45,9,478,27,G90 MHEV,2024,,,,17,24,20,Auto,SI,3.5L,6,3.5L V6,Genesis,https://www.genesis.com/us/en/genesis.html,Sedan/Wagon,HYBR,Hybrid Electric,Hybrid Electric,,,,,,,,AWD,,,,,,,,,
13442,41,1,478,29,GV60 Advanced/Performance,2024,,,95-100,,,,Auto,e-motor,160 kW and 74 or 160 kW,,160 kW and 74 or 160 kW electric motors,Genesis,https://www.genesis.com/us/en/genesis.html,SUV,ELEC,Electric,Dedicated,248-264,248,264,256,,,"Includes models with 19"" and 20"" wheels
",AWD,11,230,3,29,497,697,111,77,5
13540,41,1,478,29,GV60 Standard,2024,125,99,112,,,,Auto,e-motor,168 kW ,,168 kW electric motor,Genesis,https://www.genesis.com/us/en/genesis.html,SUV,ELEC,Electric,Dedicated,294,294,294,294,,,,RWD,11,230,3,29,491,697,111,77,5
13443,41,1,213,25,Hummer EV Pickup,2024,,,50-53,,,,Auto,e-motor,214 kW (x3),,214 kW electric motors (x3),GMC,http://www.gmc.com,Pickup,ELEC,Electric,Dedicated,298-314,298,314,306,,,Includes models with MT tires,AWD,,,,,,334,596,199,
13444,41,1,213,29,Hummer EV SUV,2024,,,50-53,,,,Auto,e-motor,214 kW (x3),,214 kW electric motors (x3),GMC,http://www.gmc.com,SUV,ELEC,Electric,Dedicated,298-314,298,314,306,,,Includes models with MT tires,AWD,,,,,,334,596,199,
13402,11,5,213,25,Sierra 2WD,2024,12,15,13,16,20,18,Auto,SI,5.3L,8,5.3L V8,GMC,http://www.gmc.com,Pickup,E85_GSLN,Ethanol (E85),Flexible Fuel,,,,,,,,RWD,,,,,,,,,
13400,35,1,213,25,Sierra 2WD,2024,,,,23,29,25,Auto,CI,3.0L,6,3.0L V6,GMC,http://www.gmc.com,Pickup,BD,Biodiesel (B20),Dedicated,,,,,,,,RWD,,,,,,,,,
13403,11,5,213,25,Sierra 4WD,2024,11,14,12,15,19,17,Auto,SI,5.3L,8,5.3L V8,GMC,http://www.gmc.com,Pickup,E85_GSLN,Ethanol (E85),Flexible Fuel,,,,,,,Includes models with mud terrain tires,4WD,,,,,,,,,
13401,35,1,213,25,Sierra 4WD,2024,,,,,,19-24,Auto,CI,3.0L,6,3.0L V6,GMC,http://www.gmc.com,Pickup,BD,Biodiesel (B20),Dedicated,,,,,,,Includes AT4X and Sport Mode models and models with mud terrain tires,4WD,,,,,,,,,
13574,35,1,213,29,Yukon/Yukon XL 2WD,2024,,,,21,27,23,Auto,CI,3.0L,6,3.0L V6,GMC,http://www.gmc.com,SUV,BD,Biodiesel (B20),Dedicated,,,,,,,,RWD,,,,,,,,,
13575,35,1,213,29,Yukon/Yukon XL 4WD,2024,,,,20,26,22,Auto,CI,3.0L,6,3.0L V6,GMC,http://www.gmc.com,SUV,BD,Biodiesel (B20),Dedicated,,,,,,,,4WD,,,,,,,,,
13499,45,9,209,27,Accord,2024,,,,,,44-48,Auto,SI,2.0L,4,2.0L I4,Honda,http://automobiles.honda.com,Sedan/Wagon,HYBR,Hybrid Electric,Hybrid Electric,,,,,,,Includes Sport/Touring models,FWD,,,,,,,,,
